"","export_region","import_region","energy","energy_EJ"
"1","Africa (AFR)","Centrally Planned Asia (CPA)","Coal",7.46080026792453e-09
"2","Centrally Planned Asia (CPA)","South Caucasus States (SCS)","Coal",3.25788278366038e-08
"3","Pacific Asia (PAS)","North America (NAM)","Coal",7.46080026792453e-08
"4","Middle East (MEA)","Central Asian States (CAS)","Coal",1.16388484179623e-07
"5","South Asia (SAS)","Central Asian States (CAS)","Coal",6.44115756464151e-07
"6","North America (NAM)","Africa (AFR)","Coal",6.71472024113208e-07
"7","South Asia (SAS)","Latin America (LAM)","Coal",7.28373060823245e-07
"8","South Asia (SAS)","South Caucasus States (SCS)","Coal",7.95818695245283e-07
"9","Eastern Europe (EEU)","Africa (AFR)","Coal",8.6694499113283e-07
"10","South Asia (SAS)","Centrally Planned Asia (CPA)","Coal",1.06870989971174e-06
"11","Belarus, Moldova, Ukraine (UBM)","South Caucasus States (SCS)","Coal",1.09425070596226e-06
"12","South Asia (SAS)","Africa (AFR)","Coal",1.6402208416002e-06
"13","South Asia (SAS)","North America (NAM)","Coal",2.56154142532075e-06
"14","South Caucasus States (SCS)","Centrally Planned Asia (CPA)","Coal",3.28275211788679e-06
"15","Western Europe (WEU)","Central Asian States (CAS)","Coal",3.87127576189291e-06
"16","Eastern Europe (EEU)","Central Asian States (CAS)","Coal",3.88956387301132e-06
"17","Eastern Europe (EEU)","Centrally Planned Asia (CPA)","Coal",4.5799365911366e-06
"18","Western Europe (WEU)","Centrally Planned Asia (CPA)","Coal",5.42605138871034e-06
"19","Eastern Europe (EEU)","Pacific OECD (PAO)","Coal",5.85379706352822e-06
"20","South Caucasus States (SCS)","Western Europe (WEU)","Coal",6.39937708314113e-06
"21","Eastern Europe (EEU)","Pacific Asia (PAS)","Coal",7.29469161664078e-06
"22","South Asia (SAS)","Western Europe (WEU)","Coal",1.23790344125431e-05
"23","Middle East (MEA)","Latin America (LAM)","Coal",2.30371608719091e-05
"24","Middle East (MEA)","Pacific OECD (PAO)","Coal",2.48236243901069e-05
"25","Centrally Planned Asia (CPA)","North America (NAM)","Coal",2.63117556115472e-05
"26","South Asia (SAS)","Pacific Asia (PAS)","Coal",3.35380678363754e-05
"27","Centrally Planned Asia (CPA)","Belarus, Moldova, Ukraine (UBM)","Coal",4.79682205492517e-05
"28","Centrally Planned Asia (CPA)","Africa (AFR)","Coal",5.81791933903669e-05
"29","Middle East (MEA)","South Caucasus States (SCS)","Coal",6.52914526913457e-05
"30","Central Asian States (CAS)","South Asia (SAS)","Coal",8.08675146266971e-05
"31","South Caucasus States (SCS)","Belarus, Moldova, Ukraine (UBM)","Coal",9.79220669674012e-05
"32","Centrally Planned Asia (CPA)","Eastern Europe (EEU)","Coal",0.000113101255581575
"33","Western Europe (WEU)","Belarus, Moldova, Ukraine (UBM)","Coal",0.00018993939093824
"34","Central Asian States (CAS)","South Caucasus States (SCS)","Coal",0.000217755330066206
"35","Central Asian States (CAS)","Pacific OECD (PAO)","Coal",0.000217929975826075
"36","Western Europe (WEU)","South Caucasus States (SCS)","Coal",0.000258436218693979
"37","Middle East (MEA)","Pacific Asia (PAS)","Coal",0.000277931248610112
"38","Eastern Europe (EEU)","North America (NAM)","Coal",0.000280498259332352
"39","Belarus, Moldova, Ukraine (UBM)","Middle East (MEA)","Coal",0.000445349169427585
"40","Western Europe (WEU)","North America (NAM)","Coal",0.000445373029545274
"41","Western Europe (WEU)","Latin America (LAM)","Coal",0.00045671812243279
"42","Middle East (MEA)","Eastern Europe (EEU)","Coal",0.000532509197608252
"43","Western Europe (WEU)","Pacific OECD (PAO)","Coal",0.000647785698424786
"44","South Asia (SAS)","Middle East (MEA)","Coal",0.000778778180873219
"45","Eastern Europe (EEU)","Latin America (LAM)","Coal",0.0010455644355287
"46","Latin America (LAM)","Belarus, Moldova, Ukraine (UBM)","Coal",0.00122805841791409
"47","Middle East (MEA)","Centrally Planned Asia (CPA)","Coal",0.00156549069265028
"48","Central Asian States (CAS)","Eastern Europe (EEU)","Coal",0.00160675416900004
"49","Belarus, Moldova, Ukraine (UBM)","Western Europe (WEU)","Coal",0.00192004465844399
"50","North America (NAM)","Pacific Asia (PAS)","Coal",0.00200307565593238
"51","Western Europe (WEU)","Africa (AFR)","Coal",0.00223372936639913
"52","Latin America (LAM)","Africa (AFR)","Coal",0.00291114582160872
"53","Centrally Planned Asia (CPA)","Central Asian States (CAS)","Coal",0.00314794939475183
"54","Middle East (MEA)","Africa (AFR)","Coal",0.00340379925010038
"55","Latin America (LAM)","Pacific Asia (PAS)","Coal",0.00386434826236875
"56","Pacific Asia (PAS)","Africa (AFR)","Coal",0.00493275611982269
"57","Pacific Asia (PAS)","Middle East (MEA)","Coal",0.0053341809561475
"58","North America (NAM)","Middle East (MEA)","Coal",0.00542711774301553
"59","Western Europe (WEU)","Middle East (MEA)","Coal",0.00585194161986033
"60","Central Asian States (CAS)","Centrally Planned Asia (CPA)","Coal",0.00589823094956415
"61","Western Europe (WEU)","Pacific Asia (PAS)","Coal",0.00732323808914181
"62","Middle East (MEA)","Western Europe (WEU)","Coal",0.00767137960235249
"63","Latin America (LAM)","Centrally Planned Asia (CPA)","Coal",0.0082988764655942
"64","Eastern Europe (EEU)","Belarus, Moldova, Ukraine (UBM)","Coal",0.00948288774566381
"65","Eastern Europe (EEU)","Middle East (MEA)","Coal",0.00993030158974936
"66","North America (NAM)","Belarus, Moldova, Ukraine (UBM)","Coal",0.00995969477655337
"67","Africa (AFR)","Latin America (LAM)","Coal",0.012126165057945
"68","Pacific OECD (PAO)","Belarus, Moldova, Ukraine (UBM)","Coal",0.0124393786334461
"69","Belarus, Moldova, Ukraine (UBM)","Eastern Europe (EEU)","Coal",0.01280217424724
"70","Western Europe (WEU)","Eastern Europe (EEU)","Coal",0.0138896198950007
"71","Pacific OECD (PAO)","Middle East (MEA)","Coal",0.0156486031991819
"72","Centrally Planned Asia (CPA)","Middle East (MEA)","Coal",0.0166138425290233
"73","Africa (AFR)","Eastern Europe (EEU)","Coal",0.0234044829400509
"74","Central Asian States (CAS)","Belarus, Moldova, Ukraine (UBM)","Coal",0.0243338843528443
"75","Centrally Planned Asia (CPA)","Western Europe (WEU)","Coal",0.0244270459038331
"76","Pacific Asia (PAS)","Eastern Europe (EEU)","Coal",0.0248872025943634
"77","Middle East (MEA)","South Asia (SAS)","Coal",0.0253634528879768
"78","Africa (AFR)","Middle East (MEA)","Coal",0.0255006616738333
"79","Centrally Planned Asia (CPA)","Latin America (LAM)","Coal",0.0268630437883069
"80","North America (NAM)","Latin America (LAM)","Coal",0.0277775457794027
"81","Eastern Europe (EEU)","South Asia (SAS)","Coal",0.0279680668857314
"82","North America (NAM)","Eastern Europe (EEU)","Coal",0.029178231868466
"83","Latin America (LAM)","Pacific OECD (PAO)","Coal",0.036327863606737
"84","Latin America (LAM)","South Asia (SAS)","Coal",0.0381055144441466
"85","Western Europe (WEU)","South Asia (SAS)","Coal",0.0394627651624909
"86","Africa (AFR)","Western Europe (WEU)","Coal",0.041562450082537
"87","Centrally Planned Asia (CPA)","South Asia (SAS)","Coal",0.053302770266519
"88","Centrally Planned Asia (CPA)","Pacific Asia (PAS)","Coal",0.0548859539350825
"89","Latin America (LAM)","Eastern Europe (EEU)","Coal",0.0613726612937139
"90","North America (NAM)","Centrally Planned Asia (CPA)","Coal",0.0777943847484774
"91","Central Asian States (CAS)","Western Europe (WEU)","Coal",0.0835158668401379
"92","Latin America (LAM)","North America (NAM)","Coal",0.0852625272348091
"93","North America (NAM)","Western Europe (WEU)","Coal",0.0949039114017207
"94","Pacific OECD (PAO)","Eastern Europe (EEU)","Coal",0.100746466009407
"95","Centrally Planned Asia (CPA)","Pacific OECD (PAO)","Coal",0.106520158463289
"96","North America (NAM)","South Asia (SAS)","Coal",0.112163782787508
"97","Latin America (LAM)","Middle East (MEA)","Coal",0.1403910470694
"98","Eastern Europe (EEU)","Western Europe (WEU)","Coal",0.150714382823411
"99","Pacific Asia (PAS)","Western Europe (WEU)","Coal",0.163309798154771
"100","North America (NAM)","Pacific OECD (PAO)","Coal",0.188872756496757
"101","Africa (AFR)","South Asia (SAS)","Coal",0.27342713683163
"102","Pacific OECD (PAO)","Latin America (LAM)","Coal",0.316398561125098
"103","Pacific Asia (PAS)","Pacific OECD (PAO)","Coal",0.710554115562572
"104","Pacific OECD (PAO)","Pacific Asia (PAS)","Coal",0.728237340377409
"105","Pacific OECD (PAO)","Western Europe (WEU)","Coal",0.917019125055686
"106","Latin America (LAM)","Western Europe (WEU)","Coal",1.19644154073035
"107","Pacific Asia (PAS)","South Asia (SAS)","Coal",3.0413643292039
"108","Pacific OECD (PAO)","Centrally Planned Asia (CPA)","Coal",3.06899864481419
"109","Pacific Asia (PAS)","Centrally Planned Asia (CPA)","Coal",3.50711304990363
"110","Pacific OECD (PAO)","South Asia (SAS)","Coal",3.51077125237897
"111","Centrally Planned Asia (CPA)","Latin America (LAM)","Crude Oil",2.27723107367727e-08
"112","Eastern Europe (EEU)","Centrally Planned Asia (CPA)","Crude Oil",1.21270509073273e-07
