ISO,msgregion
AFG,SAS
ALB,EEU
DZA,MEA
ASM,
AND,WEU
AGO,AFR
AIA,
ATA,
ATG,LAM
ARG,LAM
ARM,SCS
ABW,
AUS,PAO
AUT,WEU
AZE,SCS
BHS,LAM
BHR,MEA
BGD,SAS
BRB,LAM
BLR,UBM
BEL,WEU
BLZ,LAM
BEN,AFR
BMU,LAM
BTN,SAS
BOL,LAM
BIH,EEU
BWA,AFR
BRA,LAM
IOT,
VGB,
BRN,PAS
BGR,EEU
BFA,AFR
BDI,AFR
KHM,CPA
CMR,AFR
CAN,NAM
CPV,AFR
CYM,
CAF,AFR
TCD,AFR
CHL,LAM
CHN,CPA
COL,LAM
COM,AFR
COK,
CRI,LAM
CIV,AFR
HRV,EEU
CUB,LAM
CYP,WEU
CZE,EEU
DNK,WEU
DJI,AFR
DMA,
DOM,LAM
ECU,LAM
EGY,MEA
SLV,LAM
GNQ,AFR
ERI,AFR
EST,EEU
ETH,AFR
FLK,LAM
FRO,WEU
FJI,PAS
FIN,WEU
FRA,WEU
GUF,LAM
PYF,PAS
GAB,AFR
GMB,AFR
GEO,SCS
DEU,WEU
GHA,AFR
GIB,WEU
GRC,WEU
GRL,WEU
GRD,
GLP,LAM
GUM,NAM
GTM,LAM
GIN,AFR
GNB,AFR
GUY,LAM
HTI,LAM
HND,LAM
HUN,EEU
ISL,WEU
IND,SAS
IDN,PAS
IRN,MEA
IRQ,MEA
IRL,WEU
ISR,MEA
ITA,WEU
JAM,LAM
JPN,PAO
JOR,MEA
KAZ,CAS
KEN,AFR
KIR,
KWT,MEA
KGZ,CAS
LAO,CPA
LVA,EEU
LBN,MEA
LSO,AFR
LBR,AFR
LBY,MEA
LIE,WEU
LTU,EEU
LUX,WEU
MKD,EEU
MDG,AFR
MWI,AFR
MYS,PAS
MDV,SAS
MLI,AFR
MLT,WEU
MHL,
MTQ,LAM
MRT,AFR
MUS,AFR
MYT,
MEX,LAM
FSM,
MDA,UBM
MCO,WEU
MNG,CPA
MNE,EEU
MSR,
MAR,MEA
MOZ,AFR
MMR,PAS
NAM,AFR
NRU,
NPL,SAS
NLD,WEU
NCL,PAS
NZL,PAO
NIC,LAM
NER,AFR
NGA,AFR
NIU,
KOR,PAS
MNP,
NOR,WEU
OMN,MEA
PAK,SAS
PLW,
PSE,
PAN,LAM
PNG,PAS
PRY,LAM
PER,LAM
PHL,PAS
POL,EEU
PRT,WEU
QAT,MEA
REU,AFR
ROU,EEU
RUS,RUS
RWA,AFR
WSM,PAS
STP,AFR
SAU,MEA
SEN,AFR
SRB,EEU
SYC,AFR
SLE,AFR
SGP,PAS
SVK,EEU
SVN,EEU
SLB,PAS
SOM,AFR
ZAF,AFR
SGS,
PRK,CPA
SSD,MEA
ESP,WEU
LKA,SAS
SHN,
LCA,
SPM,
VCT,
SDN,AFR
SUR,LAM
SWZ,AFR
SWE,WEU
CHE,WEU
SYR,MEA
TWN,CPA
TJK,CAS
TZA,AFR
THA,PAS
TLS,PAS
TGO,AFR
TKL,
TON,
TTO,LAM
TUN,MEA
TUR,WEU
TKM,CAS
TCA,
TUV,
UGA,AFR
UKR,UBM
ARE,MEA
GBR,WEU
USA,NAM
URY,LAM
UZB,CAS
VUT,PAS
VEN,LAM
VNM,CPA
WLF,
ESH,MEA
YEM,MEA
ZMB,AFR
ZWE,AFR
,LAM
,MEA
,AFR
,AFR
,EEU
,MEA
